+1.0068561486e+00 +5.9464231762e-01 
+1.0016781473e+00 +5.9215653345e-01 
+9.9644699070e-01 +5.8964131188e-01 
+9.7997569209e-01 +5.8169576285e-01 
+9.6316233236e-01 +5.7354429071e-01 
+9.4600775541e-01 +5.6518423097e-01 
+9.2851357601e-01 +5.5661314386e-01 
+9.1068221206e-01 +5.4782882740e-01 
+8.9251691341e-01 +5.3882932933e-01 
+8.7402178691e-01 +5.2961295787e-01 
+8.5520181778e-01 +5.2017829139e-01 
+8.3606288805e-01 +5.1052418755e-01 
+8.1661179293e-01 +5.0064979246e-01 
+7.9685625664e-01 +4.9055455084e-01 
+7.7680494961e-01 +4.8023821827e-01 
+7.5646750928e-01 +4.6970087709e-01 
+7.3585456729e-01 +4.5894295757e-01 
+7.1497778621e-01 +4.4796526660e-01 
+6.9384990908e-01 +4.3676902606e-01 
+6.7248482561e-01 +4.2535592381e-01 
+6.5089765840e-01 +4.1372817996e-01 
+6.2910487301e-01 +4.0188863181e-01 
+6.0712441494e-01 +3.8984084057e-01 
+5.8497587593e-01 +3.7758922321e-01 
+5.6268069111e-01 +3.6513921235e-01 
+5.4026236664e-01 +3.5249744685e-01 
+5.1774673364e-01 +3.3967199332e-01 
+4.9516225806e-01 +3.2667262130e-01 
+4.7254032385e-01 +3.1351108749e-01 
+4.4991541911e-01 +3.0020135977e-01 
+4.2732584184e-01 +2.8676026219e-01 
+4.0481365103e-01 +2.7320759746e-01 
+3.8242523595e-01 +2.5956675739e-01 
+3.6021167749e-01 +2.4586522486e-01 
+3.3822918450e-01 +2.3213517567e-01 
+3.1653957358e-01 +2.1841416256e-01 
+2.9521077568e-01 +2.0474587369e-01 
+2.7431731709e-01 +1.9118093030e-01 
+2.5394066482e-01 +1.7777764028e-01 
+2.3416924538e-01 +1.6460255247e-01 
+2.1509784513e-01 +1.5173056068e-01 
+1.9682599920e-01 +1.3924419846e-01 
+1.7945491898e-01 +1.2723168298e-01 
+1.6308258127e-01 +1.1578328322e-01 
+1.4779691649e-01 +1.0498581159e-01 
+1.3366765770e-01 +9.4915553094e-02 
+1.2073825543e-01 +8.5630703586e-02 
+1.0901980797e-01 +7.7164986270e-02 
+9.8489109927e-02 +6.9524373225e-02 
+8.9091490859e-02 +6.2687817917e-02 
+8.0747781727e-02 +5.6611744739e-02 
+7.3363379731e-02 +5.1236798517e-02 
+6.6837189681e-02 +4.6495016813e-02 
+6.1068880863e-02 +4.2316007949e-02 
+5.5963853032e-02 +3.8631464159e-02 
+5.1436045079e-02 +3.5377973516e-02 
+4.7409080407e-02 +3.2498441782e-02 
+4.3816304742e-02 +2.9942533900e-02 
+4.0600181013e-02 +2.7666503180e-02 
+3.7711372349e-02 +2.5632684988e-02 
+3.5107723863e-02 +2.3808840665e-02 
+3.2753264328e-02 +2.2167465667e-02 
+3.0617289400e-02 +2.0685125777e-02 
+2.8673551621e-02 +1.9341852987e-02 
+2.6899561774e-02 +1.8120613202e-02 
+2.5275995404e-02 +1.7006846869e-02 
+2.3786193487e-02 +1.5988077962e-02 
+2.2415744744e-02 +1.5053584118e-02 
+2.1152137338e-02 +1.4194119989e-02 
+1.9984468793e-02 +1.3401686050e-02 
+1.8903204371e-02 +1.2669335751e-02 
+1.7899975571e-02 +1.1991014767e-02 
+1.6967411788e-02 +1.1361426952e-02 
+1.6098999313e-02 +1.0775922446e-02 
+1.5288962902e-02 +1.0230404132e-02 
+1.4532165990e-02 +9.7212492429e-03 
+1.3824026328e-02 +9.2452435286e-03 
+1.3160444410e-02 +8.7995257936e-03 
+1.2537742533e-02 +8.3815410422e-03 
+1.1952612725e-02 +7.9890007610e-03 
+1.1402072076e-02 +7.6198491373e-03 
+1.0883424301e-02 +7.2722342254e-03 
+1.0394226519e-02 +6.9444832455e-03 
+9.9322604635e-03 +6.6350813446e-03 
+9.4955074179e-03 +6.3426532634e-03 
+9.0821263346e-03 +6.0659474507e-03 
+8.6904346511e-03 +5.8038222424e-03 
+8.3188914102e-03 +5.5552337865e-03 
+7.9660823481e-03 +5.3192254464e-03 
+7.6307066618e-03 +5.0949184576e-03 
+7.3115652097e-03 +4.8815036441e-03 
+7.0075499292e-03 +4.6782340309e-03 
+6.7176342807e-03 +4.4844182067e-03 
