+0.0000000000e+00 +0.0000000000e+00 +9.2852336760e-01 +7.0878261246e-33 +4.6426168380e-01 -2.5000000000e-01 +0.0000000000e+00 
+5.4738143480e-02 +5.0076109640e-02 +9.0113713807e-01 +1.3705366372e-03 +4.5056856904e-01 -2.4999061654e-01 +2.5038054820e-02 
+1.1611119270e-01 +1.0443936001e-01 +8.7043038422e-01 +6.1120793994e-03 +4.3521519211e-01 -2.4993317483e-01 +5.2219680006e-02 
+1.8455639788e-01 +1.6284451908e-01 +8.3619490572e-01 +1.5259229372e-02 +4.1809745286e-01 -2.4975026058e-01 +8.1422259539e-02 
+2.6051787932e-01 +2.2492147305e-01 +7.9823751447e-01 +2.9986868978e-02 +3.9911875723e-01 -2.4932090462e-01 +1.1246073653e-01 
+3.4444642107e-01 +2.9016050293e-01 +7.5639523656e-01 +5.1601908542e-02 +3.7819761828e-01 -2.4846743954e-01 +1.4508025146e-01 
+4.3679927948e-01 +3.5789917120e-01 +7.1055812987e-01 +8.1526990205e-02 +3.5527906494e-01 -2.4694187866e-01 +1.7894958560e-01 
+5.3804000487e-01 +4.2731284408e-01 +6.6070175808e-01 +1.2127470721e-01 +3.3035087904e-01 -2.4441413945e-01 +2.1365642204e-01 
+6.4863827505e-01 +4.9741183209e-01 +6.0693087120e-01 +1.7241118200e-01 +3.0346543560e-01 -2.4046620177e-01 +2.4870591605e-01 
+7.6906973945e-01 +5.6704923265e-01 +5.4953435839e-01 +2.3650848441e-01 +2.7476717919e-01 -2.3459856105e-01 +2.8352461633e-01 
+8.9981587271e-01 +6.3494457900e-01 +4.8904849920e-01 +3.1508650595e-01 +2.4452424960e-01 -2.2625763683e-01 +3.1747228950e-01 
+1.0413638371e+00 +6.9972888503e-01 +4.2632045446e-01 +4.0954666192e-01 +2.1316022723e-01 -2.1489393138e-01 +3.4986444251e-01 
+1.1942063525e+00 +7.6001587975e-01 +3.6255683598e-01 +5.2110219281e-01 +1.8127841799e-01 -2.0005854675e-01 +3.8000793988e-01 
+1.3588415741e+00 +8.1450118167e-01 +2.9933436081e-01 +6.5071267545e-01 +1.4966718041e-01 -1.8153728765e-01 +4.0725059084e-01 
+1.5357729758e+00 +8.6208500412e-01 +2.3854441010e-01 +7.9903304742e-01 +1.1927220505e-01 -1.5950479489e-01 +4.3104250206e-01 
+1.7255092406e+00 +9.0200464878e-01 +1.8224646735e-01 +9.6638893812e-01 +9.1123233675e-02 -1.3465738842e-01 +4.5100232439e-01 
+1.9285641555e+00 +9.3395226769e-01 +1.3242327531e-01 +1.1527889759e+00 +6.6211637656e-02 -1.0826133638e-01 +4.6697613385e-01 
+2.1454565127e+00 +9.5814540881e-01 +9.0665647076e-02 +1.3579797384e+00 +4.5332823538e-02 -8.2050399742e-02 +4.7907270441e-01 
+2.3767100141e+00 +9.7531888083e-01 +5.7859429608e-02 +1.5815399318e+00 +2.8929714804e-02 -5.7941769354e-02 +4.8765944041e-01 
+2.6228531815e+00 +9.8662165466e-01 +3.3979591924e-02 +1.8229990607e+00 +1.6989795962e-02 -3.7616809722e-02 +4.9331082733e-01 
+2.8844192701e+00 +9.9343124914e-01 +1.8088277565e-02 +2.0819564072e+00 +9.0441387826e-03 -2.2103090997e-02 +4.9671562457e-01 
+3.1619461854e+00 +9.9713036024e-01 +8.5693970742e-03 +2.3581736189e+00 +4.2846985371e-03 -1.1536824226e-02 +4.9856518012e-01 
+3.4559764050e+00 +9.9890937550e-01 +3.5315037328e-03 +2.6516216198e+00 +1.7657518664e-03 -5.2271207075e-03 +4.9945468775e-01 
+3.7670569022e+00 +9.9964982570e-01 +1.2290016697e-03 +2.9624780148e+00 +6.1450083485e-04 -1.9955017097e-03 +4.9982491285e-01 
+4.0957390734e+00 +9.9990878727e-01 +3.4675505557e-04 +3.2910876479e+00 +1.7337752779e-04 -6.1620492666e-04 +4.9995439363e-01 
+4.4425786682e+00 +9.9998186255e-01 +7.4622918561e-05 +3.6379082793e+00 +3.7311459281e-05 -1.4480430941e-04 +4.9999093127e-01 
+4.8081357226e+00 +9.9999751909e-01 +1.1035627604e-05 +4.0034615650e+00 +5.5178138021e-06 -2.3330807509e-05 +4.9999875955e-01 
+5.1929744938e+00 +9.9999981425e-01 +8.9228667844e-07 +4.3882998231e+00 +4.4614333922e-07 -2.0506833268e-06 +4.9999990713e-01 
+5.5976633983e+00 +9.9999999746e-01 +1.3143041607e-08 +4.7929886896e+00 +6.5715208033e-09 -3.2765483327e-08 +4.9999999873e-01 
+6.0227749521e+00 +1.0000000001e+00 -6.5638502164e-10 +5.2181002429e+00 -3.2819251082e-10 +1.7713384987e-09 +5.0000000006e-01 
+6.4688857122e+00 +9.9999999999e-01 +7.3966562759e-11 +5.6642110030e+00 +3.6983281379e-11 -2.1563984950e-10 +4.9999999999e-01 
+6.9365762213e+00 +1.0000000000e+00 -1.2805295874e-11 +6.1319015121e+00 -6.4026479368e-12 +4.0252834927e-11 +5.0000000000e-01 
+7.4264309536e+00 +1.0000000000e+00 +2.9573515161e-12 +6.6217562444e+00 +1.4786757581e-12 -1.0005037344e-11 +5.0000000000e-01 
+7.9390382624e+00 +1.0000000000e+00 -8.4563017384e-13 +7.1343635531e+00 -4.2281508692e-13 +3.0734709870e-12 +5.0000000000e-01 
+8.4749903299e+00 +1.0000000000e+00 +2.8581035234e-13 +7.6703156207e+00 +1.4290517617e-13 -1.1141134180e-12 +5.0000000000e-01 
