+0.0000000000e+00 +0.0000000000e+00 +5.0884426996e-01 -3.0000000000e-01 +4.0707541597e-01 -3.7877375210e-02 +0.0000000000e+00 
+5.4738143480e-02 +2.7781438625e-02 +5.0622262338e-01 -2.9923964781e-01 +4.0497809870e-01 -3.8691007039e-02 +2.2225150900e-02 
+1.1611119270e-01 +5.8757080284e-02 +5.0319900558e-01 -2.9658408142e-01 +4.0255920446e-01 -4.0054965009e-02 +4.7005664227e-02 
+1.8455639788e-01 +9.3078168182e-02 +4.9967877989e-01 -2.9138788406e-01 +3.9974302391e-01 -4.2133558834e-02 +7.4462534545e-02 
+2.6051787932e-01 +1.3087694726e-01 +4.9553032780e-01 -2.8288190288e-01 +3.9642426224e-01 -4.5118146296e-02 +1.0470155781e-01 
+3.4444642107e-01 +1.7225805433e-01 +4.9057299772e-01 -2.7016106356e-01 +3.9245839818e-01 -4.9225367779e-02 +1.3780644346e-01 
+4.3679927948e-01 +2.1728635471e-01 +4.8456304373e-01 -2.5217329374e-01 +3.8765043498e-01 -5.4690775401e-02 +1.7382908377e-01 
+5.3804000487e-01 +2.6597005203e-01 +4.7717833321e-01 -2.2771067916e-01 +3.8174266657e-01 -6.1754707161e-02 +2.1277604162e-01 
+6.4863827505e-01 +3.1823779934e-01 +4.6800367047e-01 -1.9540449026e-01 +3.7440293638e-01 -7.0635937556e-02 +2.5459023947e-01 
+7.6906973945e-01 +3.7390868874e-01 +4.5652032628e-01 -1.5372638269e-01 +3.6521626102e-01 -8.1487392090e-02 +2.9912695099e-01 
+8.9981587271e-01 +4.3265464397e-01 +4.4210594691e-01 -1.0099886420e-01 +3.5368475753e-01 -9.4327834653e-02 +3.4612371518e-01 
+1.0413638371e+00 +4.9395625941e-01 +4.2405437840e-01 -3.5418920630e-02 +3.3924350272e-01 -1.0894551551e-01 +3.9516500752e-01 
+1.1942063525e+00 +5.5705597742e-01 +4.0162842107e-01 +4.4900756394e-02 +3.2130273686e-01 -1.2477691800e-01 +4.4564478194e-01 
+1.3588415741e+00 +6.2091705047e-01 +3.7416028844e-01 +1.4186868162e-01 +2.9932823075e-01 -1.4077922410e-01 +4.9673364037e-01 
+1.5357729758e+00 +6.8420287224e-01 +3.4121099287e-01 +2.5732703029e-01 +2.7296879429e-01 -1.5534087794e-01 +5.4736229779e-01 
+1.7255092406e+00 +7.4529764370e-01 +3.0278578391e-01 +3.9294107445e-01 +2.4222862713e-01 -1.6630660457e-01 +5.9623811496e-01 
+1.9285641555e+00 +8.0239254673e-01 +2.5957344826e-01 +5.5007412444e-01 +2.0765875861e-01 -1.7121430197e-01 +6.4191403738e-01 
+2.1454565127e+00 +8.5365590722e-01 +2.1313440705e-01 +7.2966625080e-01 +1.7050752564e-01 -1.6781704170e-01 +6.8292472578e-01 
+2.3767100141e+00 +8.9748504968e-01 +1.6592270722e-01 +9.3214498970e-01 +1.3273816578e-01 -1.5485450987e-01 +7.1798803975e-01 
+2.6228531815e+00 +9.3280027797e-01 +1.2102597111e-01 +1.1574011036e+00 +9.6820776889e-02 -1.3284185665e-01 +7.4624022238e-01 
+2.8844192701e+00 +9.5929848487e-01 +8.1585973341e-02 +1.4048555399e+00 +6.5268778673e-02 -1.0445263201e-01 +7.6743878790e-01 
+3.1619461854e+00 +9.7756137993e-01 +5.0025730260e-02 +1.6736209118e+00 +4.0020584208e-02 -7.4079086386e-02 +7.8204910395e-01 
+3.4559764050e+00 +9.8894141379e-01 +2.7381509553e-02 +1.9627265359e+00 +2.1905207643e-02 -4.6513113128e-02 +7.9115313104e-01 
+3.7670569022e+00 +9.9523452057e-01 +1.3078158154e-02 +2.2713457540e+00 +1.0462526523e-02 -2.5285335046e-02 +7.9618761645e-01 
+4.0957390734e+00 +9.9825433513e-01 +5.2971285498e-03 +2.5989578766e+00 +4.2377028398e-03 -1.1571736357e-02 +7.9860346811e-01 
+4.4425786682e+00 +9.9947667018e-01 +1.7512884718e-03 +2.9454039829e+00 +1.4010307774e-03 -4.2940233531e-03 +7.9958133615e-01 
+4.8081357226e+00 +9.9987850174e-01 +4.4717302226e-04 +3.3108431765e+00 +3.5773841780e-04 -1.2232928815e-03 +7.9990280139e-01 
+5.1929744938e+00 +9.9998004608e-01 +8.0551044912e-05 +3.6956547296e+00 +6.4440835929e-05 -2.4453627114e-04 +7.9998403686e-01 
+5.5976633983e+00 +9.9999806980e-01 +8.5233984648e-06 +4.1003392060e+00 +6.8187187718e-06 -2.8576723863e-05 +7.9999845584e-01 
+6.0227749521e+00 +9.9999994145e-01 +2.8206849983e-07 +4.5254503371e+00 +2.2565479987e-07 -1.0399252146e-06 +7.9999995316e-01 
+6.4688857122e+00 +1.0000000020e+00 -1.0556120017e-08 +4.9715610846e+00 -8.4448960136e-09 +4.2628626448e-08 +8.0000000161e-01 
+6.9365762213e+00 +9.9999999980e-01 +1.1110535438e-09 +5.4392515941e+00 +8.8884283505e-10 -4.8971086287e-09 +7.9999999984e-01 
+7.4264309536e+00 +1.0000000000e+00 -1.8890074512e-10 +5.9291063263e+00 -1.5112059610e-10 +9.0581663791e-10 +8.0000000002e-01 
+7.9390382624e+00 +9.9999999999e-01 +4.3723632853e-11 +6.4417136351e+00 +3.4978906282e-11 -2.2742460397e-10 +7.9999999999e-01 
+8.4749903299e+00 +1.0000000000e+00 -1.2654516774e-11 +6.9776657027e+00 -1.0123613419e-11 +7.1202934749e-11 +8.0000000000e-01 
